employee_id,first_name,last_name,email,phone,dept_id,job_title,salary,hire_date,birth_date,address,city,state,zip_code,is_manager,reports_to,emergency_contact,emergency_phone,termination_date,termination_reason
EMP00001,Elizabeth,Smith,employee1@thegoods.com,258.771.7020,,CEO,171580,2017-01-17,2000-09-26,18789 Rebecca Centers Suite 299,Drewberg,MI,45874,True,,Sheryl Harris,549.223.2124,,
EMP00002,Zachary,Fields,employee2@thegoods.com,930.836.1322,,CFO,141292,2012-06-01,1991-09-27,7447 Alexander Roads,North Marymouth,PW,84414,True,,Alexis Chandler,+1-576-667-8453,,
EMP00003,James,Sanchez,employee3@thegoods.com,+1-378-543-7011x80336,,COO,129811,2019-05-16,1976-09-03,506 Lawrence Forges Apt. 511,Youngfort,OH,99412,True,,Donna Dillon,+1-973-562-5303x42602,,
EMP00004,David,Small,employee4@thegoods.com,+1-227-928-7022x940,,CTO,182957,2013-01-19,1973-12-22,29394 Bailey Turnpike,Bellmouth,PR,73586,True,,Heather James,001-659-681-7130x3292,,
EMP00005,Garrett,Lewis,employee5@thegoods.com,733-821-3300x0429,,CMO,181479,2012-11-15,1959-07-04,93095 May Burg,North Kayla,MI,20580,True,,Ryan Jackson,(669)531-8606x231,,
EMP00006,Juan,Hall,employee6@thegoods.com,805.535.9627,,HR Director,129684,2017-10-25,1960-01-27,3252 Sandoval Rest Suite 674,East Stacyville,KY,19672,True,3.0,Crystal Porter,001-969-641-4314x01398,,
EMP00007,Cheryl,Allen,employee7@thegoods.com,001-737-818-9428x40888,,IT Director,99247,2012-09-15,1989-01-21,85212 Brandon Heights,South Josephside,FM,92249,True,5.0,Brandon Strong,(296)548-7032x187,,
EMP00008,Jessica,Barber,employee8@thegoods.com,+1-688-284-2359,,Finance Manager,70821,2019-01-12,1965-05-22,9806 Jeremy Road,Harrisfurt,VI,19679,True,1.0,Michael Reynolds,(465)556-1577,,
EMP00009,Maxwell,Miller,employee9@thegoods.com,627.648.4792x7059,,Marketing Manager,66148,2015-03-05,1976-01-25,53606 Raymond Parks Apt. 674,New Joyburgh,MS,04420,True,1.0,Jordan Rangel,2074110648,,
EMP00010,Dustin,Kelly,employee10@thegoods.com,001-686-899-8008x81484,,Operations Manager,81220,2021-04-24,1989-08-26,1124 Tamara Rapid Suite 069,East Kristinburgh,WY,96301,True,2.0,Michael Harmon,+1-852-918-6678x239,,
EMP00011,Jennifer,Jenkins,employee11@thegoods.com,(994)386-3787x855,,HR Specialist,53122,2014-12-19,1998-09-15,972 Baldwin Crescent,Smithchester,ID,29029,False,3.0,Joshua Bryant,726.573.2681x361,,
EMP00012,Brandon,Holt,employee12@thegoods.com,(702)882-0749,,IT Specialist,53879,2016-01-10,1967-06-07,32459 Jessica Garden Apt. 414,North Lisa,NC,19924,False,2.0,Scott Rosario,414-234-3825x00869,,
EMP00013,Brian,King,employee13@thegoods.com,001-515-794-9283x49428,,Accountant,46325,2015-04-28,1996-01-13,0607 Holland Run,West Carolinefort,MO,38703,False,3.0,James Austin,403.324.2234x1779,,
EMP00014,Daniel,Brown,employee14@thegoods.com,(324)959-6090x127,,Marketing Specialist,59637,2023-11-10,1966-12-03,840 Sean Bypass,Jamesland,MI,22789,False,1.0,Peter Franklin,001-897-817-8625x61563,,
EMP00015,Elizabeth,Reid,employee15@thegoods.com,904-656-9606x28536,,Administrative Assistant,59793,2014-04-05,1986-01-18,711 Rose Loop,West Kayla,ID,15867,False,4.0,Travis Davis,(570)264-5478,,
EMP00016,Beth,Lawson,employee16@thegoods.com,303-803-3799,,Executive Assistant,57560,2014-05-08,1962-07-25,029 Ross Center Suite 440,Port Anthony,WV,42481,False,3.0,Mr. Mike Miller,4698260054,,
EMP00017,Vanessa,Campbell,employee17@thegoods.com,+1-385-517-4444,,Receptionist,45324,2013-06-13,2002-10-06,8235 Thomas Forks,Harrisside,WI,08241,False,4.0,Janet Garcia DDS,+1-389-204-3810x063,,
EMP00018,Caitlyn,Mclaughlin,employee18@thegoods.com,001-850-276-1404x86871,1001.0,Electronics Manager,87408,2017-12-17,1979-05-12,82109 Brian Road,North Joshuahaven,PA,18574,True,14.0,James Bailey,5988947939,,
EMP00019,Jonathan,Myers,employee19@thegoods.com,4614096033,1001.0,Electronics Sales Associate,41684,2024-10-11,1992-03-31,223 Lewis Island,Erinberg,NH,91202,False,18.0,Logan Webster,801-988-7206x96577,,
EMP00020,Kelli,Marshall,employee20@thegoods.com,871.830.8483x97200,1001.0,Electronics Department Lead,55989,2024-12-25,1969-08-26,8986 Gonzales Parkway Apt. 670,Curryshire,UT,98428,False,18.0,Hunter Smith MD,001-240-243-8801x5315,,
EMP00021,Heather,Clark,employee21@thegoods.com,+1-934-685-8425x56141,1001.0,Electronics Department Lead,59496,2023-06-17,1969-12-06,0183 Kimberly Neck Apt. 695,Lake Lisa,FL,34715,False,18.0,Jennifer Serrano,660.242.5990,,
EMP00022,Sarah,Morse,employee22@thegoods.com,589-681-8432x44574,1001.0,Customer Service Technician,39315,2017-12-29,1990-08-08,512 Angela Trace Suite 293,North Terri,NE,20710,False,18.0,Kristen Reed,500-473-5901,,
EMP00023,Danielle,Allison,employee23@thegoods.com,404.741.4822x430,1001.0,Mobile Phone Specialist,56453,2023-04-21,1988-12-07,7393 Adams Route Suite 085,Bradleyfurt,GA,49615,False,18.0,Laurie Rodriguez,001-935-239-5956x91720,,
EMP00024,Jacqueline,Montgomery,employee24@thegoods.com,993.673.6301x52773,1001.0,Electronics Department Lead,60226,2019-06-03,1993-11-19,84487 Michael Ports,New Melindaport,AR,75108,False,18.0,Samuel Jackson,587-982-5731x30220,2023-12-30,Retired
EMP00025,Crystal,Turner,employee25@thegoods.com,(833)240-1647x850,1001.0,Mobile Phone Specialist,47813,2019-05-30,1989-05-30,71986 Wagner Island,North Davidland,GU,96578,False,18.0,Frank Medina,493-722-0615,,
EMP00026,Christopher,Cochran,employee26@thegoods.com,879.487.9504x700,1001.0,Computer Technician,43749,2024-04-27,1966-03-07,77591 Jennings Unions,New Sarahborough,PR,74285,False,18.0,Connie Ibarra,001-844-770-7066x057,,
EMP00027,Jamie,Bradford,employee27@thegoods.com,+1-431-312-5982,1001.0,Mobile Phone Specialist,50184,2018-06-20,1984-03-07,16244 Cooper Locks Suite 137,East Joseside,TN,37409,False,18.0,Kelly Walker,602-774-3939x19165,,
EMP00028,Samantha,Johnson,employee28@thegoods.com,(809)252-7958,1001.0,Audio Equipment Expert,59774,2022-03-05,1981-01-01,93330 Brent Mall Apt. 205,Port Lisa,NY,37537,False,18.0,Christopher Rodriguez,397-285-7523x266,,
EMP00029,Eric,Wilson,employee29@thegoods.com,(820)450-2551x30999,1001.0,Customer Service Technician,46313,2019-02-14,1988-09-02,649 Gallagher Brook,Smithport,MA,50027,False,18.0,Henry Rivera,342.216.9195x7594,,
EMP00030,Joseph,Andrews,employee30@thegoods.com,(854)878-2924x09886,1001.0,Customer Service Technician,41509,2019-06-14,1962-12-25,700 Adams Trail,North Robertside,AZ,20540,False,18.0,Susan Wilson,(667)675-2163x592,,
EMP00031,Kimberly,Leach,employee31@thegoods.com,3767547889,1001.0,Computer Technician,49408,2019-11-08,1997-07-04,897 Raymond Springs,Port Kylemouth,VT,66053,False,18.0,Patrick Thomas,320-637-3600,,
EMP00032,Sarah,Thompson,employee32@thegoods.com,(591)742-0417,1001.0,Mobile Phone Specialist,46581,2020-01-08,1969-12-25,07184 Jordan Rest Apt. 351,Carlaborough,IL,30993,False,18.0,Mrs. Chloe James,7578207311,,
EMP00033,Tammy,Sutton,employee33@thegoods.com,386.858.2630,1001.0,Mobile Phone Specialist,47014,2021-05-11,2000-11-04,03879 Moore Forest,Adrianstad,LA,99597,False,18.0,Jaime Cook DDS,(298)332-2991x8128,,
EMP00034,Anna,Miller,employee34@thegoods.com,901.798.2771x7956,1001.0,Audio Equipment Expert,54678,2023-11-29,2005-04-05,6121 Burns Street Suite 441,Marystad,NV,37983,False,18.0,Stephen Robles,259.382.4813x2818,,
EMP00035,Christina,Diaz,employee35@thegoods.com,344.557.3526x40714,1001.0,TV Specialist,58996,2025-02-15,1964-08-09,5274 Teresa Greens Suite 645,Lauraland,SC,23806,False,18.0,Cynthia Cervantes,(951)229-4729x92633,,
EMP00036,Susan,Johnson,employee36@thegoods.com,(711)639-1222x761,1001.0,Customer Service Technician,47913,2024-08-30,1996-10-27,118 Steele Falls Apt. 318,Williamland,UT,99656,False,18.0,Marcus Bell,6347097181,,
EMP00037,Stacy,Thomas,employee37@thegoods.com,001-974-881-8731x78529,1001.0,Mobile Phone Specialist,51220,2019-11-29,1973-05-23,685 Brittany Lodge Apt. 758,Collierberg,NV,92492,False,18.0,Caitlyn Salazar,+1-303-991-6102x8111,,
EMP00038,Andrew,Dawson,employee38@thegoods.com,487.237.4805x2170,1001.0,Mobile Phone Specialist,45017,2017-09-17,1983-06-03,701 Shelton Crossing,Andersonmouth,NY,09071,False,18.0,Sandra Hayes,896-276-7416,,
EMP00039,Amy,Russo,employee39@thegoods.com,+1-888-644-4245x04988,1001.0,Customer Service Technician,46019,2020-09-06,2000-05-06,684 Rodriguez Mall,Nicolefort,MH,54965,False,18.0,Victor Shepard,515.452.5417,,
EMP00040,Edward,Farley,employee40@thegoods.com,786-785-0634,1001.0,Electronics Sales Associate,40080,2018-02-24,1979-06-11,1045 Wagner Villages Apt. 634,Port Kevin,IL,47629,False,18.0,Kerry Meyer,800.352.5136x2725,,
EMP00041,Corey,Sims,employee41@thegoods.com,7846874261,1001.0,Mobile Phone Specialist,54460,2021-06-30,1981-11-21,62757 John Station,North Angel,CT,15306,False,18.0,Megan Mccormick,(489)552-9748x02335,,
EMP00042,Zachary,King,employee42@thegoods.com,(396)838-3846x074,1001.0,Customer Service Technician,40634,2019-12-30,1995-04-29,5561 Latoya Meadow,Port Emilyfort,SD,42881,False,18.0,Audrey Schultz,524-525-8465x8993,,
EMP00043,Matthew,Davis,employee43@thegoods.com,(485)938-4994x08477,1001.0,Computer Technician,43518,2023-10-12,1988-12-09,80927 Mcgee Cliffs Suite 004,Leblancton,NC,65673,False,18.0,Ariel Wells,(418)285-7524x52164,,
EMP00044,Tammy,Rodriguez,employee44@thegoods.com,708.629.5485x21121,1001.0,Audio Equipment Expert,58888,2022-12-26,1997-03-13,38179 Hernandez Manor,North Steventown,FM,49709,False,18.0,Amber Lindsey,837.701.9363,,
EMP00045,Patricia,Bowman,employee45@thegoods.com,764.662.9690,1001.0,TV Specialist,45001,2024-10-18,1993-11-28,90926 Martinez Island,Alexfort,MT,08138,False,18.0,Mary Cochran,9736546007,,
EMP00046,Michele,Ruiz,employee46@thegoods.com,(885)764-4925x59334,1001.0,Electronics Sales Associate,41594,2017-12-01,1974-03-29,22097 Hill Lake,North Jean,NM,87692,False,18.0,Stephen Morgan,(927)242-3341x28343,,
EMP00047,Matthew,Long,employee47@thegoods.com,+1-568-657-5391x691,1001.0,Mobile Phone Specialist,53203,2019-05-16,1977-09-02,27661 Chung Road,Alexandraville,NH,20378,False,18.0,Brittany Wilson,374-281-5324x60639,,
EMP00048,Michael,Jackson,employee48@thegoods.com,001-560-799-3960x07894,1001.0,Electronics Sales Associate,44882,2021-08-27,1996-05-01,1772 Paula Dale,South Michaelville,IA,39815,False,18.0,Jessica Hooper,001-468-610-3202,,
EMP00049,Tommy,Shelton,employee49@thegoods.com,+1-615-895-4312,1002.0,Clothing Manager,74399,2015-06-19,1979-08-02,094 Tracey Gardens,Dunnport,CA,15825,True,14.0,Kendra Robbins,560.263.4051,,
EMP00050,Steven,Hall,employee50@thegoods.com,(932)379-1823x316,1002.0,Visual Merchandiser,47778,2017-10-23,1979-07-14,968 Donna Trail,Kyleland,LA,39134,False,49.0,Marie Sanchez,(821)956-0232x474,2025-03-20,Contract ended
EMP00051,Troy,Pierce,employee51@thegoods.com,(213)970-3597x978,1002.0,Men's Department Associate,46893,2018-07-03,1983-09-27,78679 Christina Forge Suite 939,Joannashire,TN,43661,False,49.0,Cathy Anderson,652.810.4811,,
EMP00052,Christopher,Stephenson,employee52@thegoods.com,001-433-513-8634,1002.0,Visual Merchandiser,47847,2021-09-03,1997-06-24,493 Adkins Creek,West Coryfurt,HI,73360,False,49.0,Sara Macdonald,203-501-6404,,
EMP00053,Holly,Molina,employee53@thegoods.com,+1-362-311-8806x90438,1002.0,Women's Department Associate,49418,2025-04-29,1974-01-13,99120 Thomas Glen,Brycemouth,WV,03237,False,49.0,Stuart Deleon,001-341-550-9957x5681,,
